,tweet_id,retweet_count,favorite_count
175,856543823941562368,2696,15552
176,856526610513747968,1763,11295
177,856330835276025856,627,0
178,856288084350160898,15,489
179,856282028240666624,5886,26398
180,855862651834028034,23,319
181,855860136149123072,917,4664
182,855857698524602368,1977,11311
183,855851453814013952,16983,43670
184,855818117272018944,5106,25428
185,855459453768019968,7734,28411
186,855245323840757760,5595,0
187,855138241867124737,41,0
188,854732716440526848,5716,21724
189,854482394044301312,6447,27942
190,854365224396361728,4437,18079
191,854120357044912130,7040,30614
192,854010172552949760,2985,15550
193,853760880890318849,5448,27380
194,853639147608842240,9466,33221
195,853299958564483072,3369,14867
196,852936405516943360,1882,0
197,852912242202992640,1710,8643
198,852672615818899456,2052,14339
199,852553447878664193,3293,15642
200,852311364735569921,9459,31876
201,852226086759018497,6518,19255
202,852189679701164033,1511,11037
203,851861385021730816,19,0
204,851591660324737024,3305,15681
205,851464819735769094,6737,23382
206,851224888060895234,5483,19972
207,850753642995093505,8668,29688
208,850380195714523136,2487,12660
209,850333567704068097,314,3339
210,850145622816686080,3624,15775
211,850019790995546112,4656,19738
212,849776966551130114,7258,29365
213,849668094696017920,4751,0
214,849412302885593088,3014,15362
215,849336543269576704,1814,11060
216,849051919805034497,8113,40976
217,848690551926992896,4156,24404
218,848324959059550208,4444,23942
219,848213670039564288,693,7913
220,848212111729840128,2901,15816
221,847978865427394560,3132,0
222,847971574464610304,420,0
223,847962785489326080,4872,22833
224,847842811428974592,1270,5256
225,847617282490613760,395,6775
226,847606175596138505,3295,18234
227,847251039262605312,4163,19918
228,847157206088847362,5633,19299
229,847116187444137987,3061,20859
230,846874817362120707,3774,19507
231,846514051647705089,11094,43306
232,846505985330044928,2951,13721
233,846153765933735936,8685,30669
234,846139713627017216,9698,30191
235,846042936437604353,2758,15541
236,845812042753855489,8365,28427
237,845677943972139009,4633,24531
238,845397057150107648,1724,7422
239,845306882940190720,5184,22716
240,845098359547420673,7399,0
241,844979544864018432,2457,13299
242,844973813909606400,3059,14656
243,844580511645339650,3007,16048
244,844223788422217728,2111,13329
245,843981021012017153,2853,14808
246,843856843873095681,4466,20932
247,843604394117681152,2647,16477
248,843235543001513987,5813,20985
249,842846295480000512,3513,14932
250,842765311967449089,1227,6564
251,842535590457499648,3400,17706
252,842163532590374912,5595,23875
253,842115215311396866,2924,13647
254,841833993020538882,14562,0
255,841680585030541313,7581,25191
256,841439858740625411,3559,12350
257,841320156043304961,5340,19360
258,841314665196081154,4504,15512
259,841077006473256960,5143,22351
260,840761248237133825,1711,0
261,840728873075638272,15582,0
262,840698636975636481,2,172
263,840696689258311684,945,12018
264,840632337062862849,1711,8805
265,840370681858686976,4426,16092
266,840268004936019968,5559,18848
267,839990271299457024,2207,13162
268,839549326359670784,7531,26905
269,839290600511926273,140,0
270,839239871831150596,6351,26571
271,838952994649550848,3884,19275
272,838921590096166913,1992,10911
273,838916489579200512,33,0
274,838831947270979586,10709,0
275,838561493054533637,1294,10757
276,838476387338051585,4641,22039
277,838201503651401729,9770,0
278,838150277551247360,324,1634
279,838085839343206401,1,138
280,838083903487373313,3038,17303
281,837820167694528512,7657,33430
282,837482249356513284,434,3792
283,837471256429613056,2211,12565
284,837110210464448512,2309,15747
285,836989968035819520,2249,12527
286,836753516572119041,4538,19022
